#,Region,Region,المنطقة,المنطقة,City,المدينة,Remote/Main,SID,Old Name,New Name,External Code,Anydesk ID,English Display Name - New,Arabic Display Name - New,latitude,longitude,Google Maps Link,Glass Room,Location Owner,SIM SN,Retail / LM,Short Address,Buliding NO.,Street Name,Street Name Arabic,District Eng,District Arabic,Zip code,Additional No.,Address,Main Modules,Adder Modules,Working Hours,Order #,Installed
42,Eastern,,الشرقية,,Khobar,الخبر,Main,PSKH1046,,225917,41111,1273257114,Al Aqrabiyah Parcel Station - Khobar - SPL,محطة طرود العقربية - الخبر - سبل,26.296688,50.200049,https://goo.gl/maps/2qNDQGqX1aLbK1KeA,NO,SPL Retail,8.99664181911766E+018,Retail,EKJA7580,7580,Riyadh Street,طريق الرياض,,,34446,3972,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
43,Eastern,,الشرقية,,Khobar,الخبر,Main,PSKH1047,,225918,-,1524842601,Ar Rawabi Parcel Station - Khobar - Extra Mall,محطة طرود الروابي - الخبر - اكسترا مول,26.33421,50.212041,https://goo.gl/maps/oVzXEKGjR3QFrSH57,NO,Extra,8.99664181911766E+018,LM,EKDA8868,8868,King Faisal Street,طريق الملك فيصل ,,,34421,3176,Address Incomplete,1,4,,Old SPL Machines,Completed
44,Eastern,,الشرقية,,Khobar,الخبر,Main,PSKH1048,,225919,40250,1852903007,Ar Rakah Al Janubiyah Parcel Station - Khobar - SPL,محطة طرود الراكة - الخبر - سبل,26.338211,50.207216,https://goo.gl/maps/XHnF52Xc43qK2upQA,NO,SPL Retail,8.99664181911766E+018,Retail,EADA3292,3292, Prince Sultan Street,طريق الأمير سلطان,,,34227,6179,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
45,Eastern,,الشرقية,,Jubail,الجبيل,Remote,PSJU1049,,225920,42200,1576972201,Al Huwaylat Parcel Station - Jubail - SPL,محطة طرود الحويلات - الجبيل - سبل,27.099601,49.572455,https://goo.gl/maps/ArwQU4fgjwGHdNKc9,YES,SPL Retail,8.99664181911766E+018,Retail,EJAA4357,4357,Al Dairie Street,طريق الدائري,,,35718,7560,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
46,Eastern,,الشرقية,,Qatif,القطيف,Remote,PSQT1050,,225921,41000,1938130994,Al Madaris Parcel Station - Qatif - SPL,محطة طرود المدارس - القطيف - سبل,26.556147,50.001406,https://goo.gl/maps/C77vj1atN8erRVNE9,YES,SPL Retail,8.99664181911766E+018,Retail,EGGA7204,7204,Al Imam Ali Ibn Abi Talib Street,طريق الإمام علي بن أبي طالب,,,32636,2458,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
47,Eastern,,الشرقية,,Ras Tanura,راس تنورة,Remote,PSRT1051,,225922,41200,1585620262,Ar Rawdah Parcel Station - Ras Tanura - SPL,محطة طرود الروضة - راس تنورة - سبل,26.709396,50.070775,https://goo.gl/maps/Fe6PmVye7Bb7mT1R6,YES,SPL Retail,8.99664181911766E+018,Retail,ERAA4085,4085,Demashq Street,طريق دمشق,,,32817,7091,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
48,Eastern,,الشرقية,,Buqayq,بقيق,Remote,PSBQ1052,,225923,41400,1987658282,Al Madina Parcel Station - Buqayq - SPL,محطة طرود المدينة - بقيق - سبل,25.926936,49.662114,https://goo.gl/maps/4DKjMEvD1TagJvu57,YES,SPL Retail,8.99664181911766E+018,Retail,FBPA5128,5128,Jeddah Street,طريق جدة,,,33261,7424,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
49,Eastern,,الشرقية,,Dhahran,الظهران,Main,PSDH1053,,225924,-,1792422599,Al Mujamma Parcel Station - Dhahran - Aramco Camp,محطة طرود المجمع - الظهران - مجمع أرامكو,26.309247,50.130092,https://goo.gl/maps/Afx2nrRKVoQ6uaYKA,YES,Aramco,8.99664181911766E+018,LM,EKPB4297,4297,Eastern Ave Street,طريق الجادة الشرقية,,,34465,8091,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
50,Eastern,,الشرقية,,Dhahran,الظهران,Main,PSDH1054,,225925,-,1986796285,Munira Plaza Parcel Station - Dhahran - Aramco Camp,محطة طرود منيرة بلازا - الظهران - مجمع أرامكو,26.315298,50.131743,https://goo.gl/maps/jMKKfWbjvx3tQMfJ9,YES,Aramco,8.99664181911766E+018,LM,EKPA2818,2818,Al Dhahran West 169 Street,,,,34462,7278,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
51,Eastern,,الشرقية,,Dhahran,الظهران,Main,PSDH1055,,225926,-,1111751351,Jabel Heights Parcel Station - Dhahran - Aramco Camp,محطة طرود جبل هايتس - الظهران - مجمع أرامكو,26.289389,50.101278,https://goo.gl/maps/gm9wPhYwK9pb9d1bA,YES,Aramco,8.99664181911766E+018,LM,,,Al Dhahran West 11 Street,,,,34473,,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
52,Eastern,,الشرقية,,Al Hofuf,الهفوف,Remote,PSHU1056,,225927,40800,1424260463,Al Mubrraz Parcel Station - Al Hofuf - SPL,محطة طرود المبرز - الهفوف - سبل,25.386137,49.562712,https://goo.gl/maps/9dBtFcFcKtN6uUbBA,YES,SPL Retail,8.99664181911766E+018,Retail,FMDA4967,4967,Umm Kulthoum Bint Ali Street,طريق أم كلثوم بنت علي,,,36421,9328,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
53,Eastern,,الشرقية,,Al Hofuf,الهفوف,Remote,PSHU1057,,225928,41119,1716657875,Al Faisaliyah Parcel Station - Al Hofuf - SPL,محطة طرود الفيصلية - الهفوف - سبل,25.390009,49.59911,https://goo.gl/maps/sa8HwGYouxiYpryRA,YES,SPL Retail,8.99664181911766E+018,Retail,FHDD9453,9453,Prince Saud Al Faisal Street,طريق الأمير سعود الفيصل,,,36364,2296,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
54,Southern,,الجنوبية,,Abha,أبها,Remote,PSAB1058,,225929,216677,1619137788,An Nasb Parcel Station - Abha - SPL,محطة طرود النصب - أبها - سبل,18.220742,42.510392,https://goo.gl/maps/vKkEDMjidNhhTBEMA,YES,SPL Retail,8.99664181911766E+018,Retail,ABDD4443,4443, Makkah Almukarama Street,طريق مكة المكرمة,,,62521,8315,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
